,Steps,Time [s],Stress [MPA],,Frequency,Amplitude,Phase Angle [Degrees],Stress amp (MPA)
1,1,0,0,,61,3.82E-02,180,2.5759
2,1,2,1.1813,,72,4.23E-02,180,2.8501
3,2,4,2.1231,,83,4.89E-02,180,3.2926
4,3,6,2.6247,,94,6.02E-02,180,4.0528
5,4,8,2.5714,,105,8.25E-02,180,5.5565
6,5,10,1.9642,,116,1.44E-01,180,9.6717
7,6,12,0.92764,,127,8.75E-01,180,58.727
8,7,14,0.3092,,138,1.87E-01,0,12.646
9,8,16,1.46,,149,8.11E-02,0,5.5508
10,9,18,2.2462,,160,4.93E-02,0,3.3179
11,10,20,2.4668,,,,,
12,11,22,2.0545,,,,,
13,12,24,1.104,,,,,
14,13,26,0.14082,,,,,
15,14,28,1.3418,,,,,
16,15,30,2.1565,,,,,
17,16,32,2.3397,,,,,
18,17,34,1.8239,,,,,
19,18,36,0.74868,,,,,
20,19,38,0.57582,,,,,
21,20,40,1.7597,,,,,
22,21,42,2.449,,,,,
23,22,44,2.4298,,,,,
24,23,46,1.6924,,,,,
25,24,48,0.43806,,,,,
26,25,50,0.97472,,,,,
27,26,52,2.1325,,,,,
28,27,54,2.6911,,,,,
29,28,56,2.483,,,,,
30,29,58,1.5705,,,,,
31,30,60,0.22515,,,,,
